Vertex Id	Closeness centrality as fraction	Closeness centrality
6232	51931/206323	0,25170
6233	51931/171956	0,30200
6234	51931/171085	0,30354
6235	51931/222549	0,23335
6236	51931/222816	0,23307
6237	51931/214611	0,24198
6238	51931/222563	0,23333
6239	51931/175907	0,29522
6240	51931/171961	0,30199
6241	51931/172045	0,30185
6242	51931/215861	0,24058
6243	51931/222806	0,23308
6244	51931/222806	0,23308
6245	51931/222802	0,23308
6246	51931/172043	0,30185
6247	51931/175995	0,29507
6248	51931/171969	0,30198
6249	51931/176033	0,29501
6250	51931/215574	0,24090
6251	51931/215575	0,24090
6252	51931/175913	0,29521
6253	51931/175914	0,29521
6254	51931/222796	0,23309
6255	51931/175912	0,29521
6256	51931/172045	0,30185
6257	51931/171964	0,30199
6258	51931/172046	0,30184
6259	51931/222800	0,23308
6260	51931/215847	0,24059
6261	51931/215571	0,24090
6262	51931/215827	0,24061
6263	51931/171964	0,30199
6264	51931/222550	0,23335
6265	51931/171964	0,30199
6266	51931/175919	0,29520
6267	51931/222805	0,23308
6268	51931/175912	0,29521
6269	51931/215833	0,24061
6270	51931/222560	0,23333
6271	51931/171965	0,30199
6272	51931/222577	0,23332
6273	51931/222549	0,23335
6274	51931/172045	0,30185
6275	51931/172045	0,30185
6276	51931/222551	0,23334
6277	51931/175915	0,29521
6278	51931/215573	0,24090
6279	51931/215846	0,24059
6280	51931/171963	0,30199
6281	51931/175912	0,29521
6282	51931/175992	0,29508
6283	51931/215571	0,24090
6284	51931/175911	0,29521
6285	51931/222550	0,23335
6286	51931/222859	0,23302
6287	51931/222802	0,23308
6288	51931/222804	0,23308
6289	51931/171963	0,30199
6290	51931/215856	0,24058
6291	51931/222547	0,23335
6292	51931/171964	0,30199
6293	51931/171958	0,30200
6294	51931/172046	0,30184
6295	51931/222561	0,23333
6296	51931/175986	0,29509
6297	51931/175908	0,29522
6298	51931/172036	0,30186
6299	51931/172053	0,30183
6300	51931/172041	0,30185
6301	51931/222552	0,23334
6302	51931/171960	0,30199
6303	51931/215817	0,24063
6304	51931/215834	0,24061
6305	51931/222796	0,23309
6306	51931/215824	0,24062
6307	51931/215571	0,24090
6308	51931/172055	0,30183
6309	51931/175909	0,29522
6310	51931/215580	0,24089
6311	51931/215842	0,24060
6312	51931/175915	0,29521
6313	51931/215568	0,24090
6314	51931/175993	0,29507
6315	51931/175913	0,29521
6316	51931/175907	0,29522
6317	51931/171965	0,30199
6318	51931/215835	0,24061
6319	51931/172054	0,30183
6320	51931/222610	0,23328
6321	51931/171966	0,30198
6322	51931/175992	0,29508
6323	51931/215583	0,24089
6324	51931/175917	0,29520
6325	51931/222547	0,23335
6326	51931/171959	0,30200
6327	51931/172048	0,30184
6328	51931/172044	0,30185
6329	51931/176004	0,29506
6330	51931/175991	0,29508
6331	51931/215571	0,24090
6332	51931/215822	0,24062
6333	51931/215568	0,24090
6334	51931/172045	0,30185
6335	51931/175910	0,29521
6336	51931/171022	0,30365
6337	51931/206859	0,25105
6338	51931/175998	0,29507
6339	51931/215824	0,24062
6340	51931/176009	0,29505
6341	51931/175920	0,29520
6342	51931/175996	0,29507
6343	51931/215566	0,24091
6344	51931/175910	0,29521
6345	51931/175992	0,29508
6346	51931/222805	0,23308
6347	51931/222807	0,23308
6348	51931/171962	0,30199
6349	51931/171167	0,30339
6350	51931/222571	0,23332
6351	51931/215824	0,24062
6352	51931/171249	0,30325
6353	51931/214766	0,24180
6354	51931/215841	0,24060
6355	51931/222845	0,23304
6356	51931/175920	0,29520
6357	51931/171960	0,30199
6358	51931/215576	0,24089
6359	51931/215571	0,24090
6360	51931/171252	0,30324
6361	51931/176027	0,29502
6362	51931/171227	0,30329
6363	51931/172044	0,30185
6364	51931/215823	0,24062
6365	51931/215568	0,24090
6366	51931/222565	0,23333
6367	51931/171229	0,30328
6368	51931/171141	0,30344
6369	51931/215581	0,24089
6370	51931/172048	0,30184
6371	51931/171963	0,30199
6372	51931/222541	0,23335
6373	51931/172042	0,30185
6374	51931/175913	0,29521
6375	51931/222547	0,23335
6376	51931/171962	0,30199
6377	51931/171963	0,30199
6378	51931/172039	0,30186
6379	51931/205099	0,25320
6380	51931/171961	0,30199
6381	51931/175905	0,29522
6382	51931/214768	0,24180
6383	51931/222805	0,23308
6384	51931/175909	0,29522
6385	51931/171958	0,30200
6386	51931/215578	0,24089
6387	51931/172054	0,30183
6388	51931/171960	0,30199
6389	51931/175912	0,29521
6390	51931/175907	0,29522
6391	51931/175909	0,29522
6392	51931/222798	0,23309
6393	51931/175904	0,29522
6394	51931/175915	0,29521
6395	51931/215567	0,24090
6396	51931/175906	0,29522
6397	51931/171959	0,30200
6398	51931/171958	0,30200
6399	51931/215009	0,24153
6400	51931/172038	0,30186
