# of vertices	# of edges
51932	329878
21029	157406
2214	19931
23009	157905
2211	19899
19035	132243
393	1516
160	1259
39	85
133	266
72	858
13	35
94	245
72	507
2	1
2	1
43	87
2	1
24	24
2	1
6	5
3	2
5	4
2	1
15	19
3	2
6	5
9	8
24	35
6	6
2	1
2	1
2	1
2	1
11	12
3	2
3	2
6	5
11	10
3	2
3	2
3	2
9	8
10	9
5	4
4	5
4	3
3	2
10	9
2	1
2	1
2	1
2	1
6	5
2	1
2	1
2	1
2	1
2	1
2	1
3	2
3	2
2	1
9	8
2	1
3	2
5	4
2	1
2	1
3	2
2	1
2	1
3	2
2	1
2	1
2	1
2	1
2	1
7	6
2	1
2	1
4	3
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
5	4
2	1
3	2
2	1
2	1
2	1
2	1
2	1
6	6
2	1
3	2
2	1
3	2
3	2
14	13
2	1
2	1
2	1
2	1
3	3
4	3
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
3	2
2	1
2	1
3	2
2	1
3	2
2	1
2	1
2	1
4	3
2	1
2	1
2	1
3	2
2	1
2	1
3	2
2	1
3	2
3	2
2	1
2	1
3	2
4	3
2	1
2	1
2	1
4	3
3	2
7	6
3	2
3	2
2	1
3	2
2	1
2	1
2	1
3	2
2	1
2	1
4	3
2	1
2	1
3	2
2	1
2	1
2	1
2	1
2	1
2	1
3	3
3	2
2	1
2	1
3	2
2	1
2	1
7	6
2	1
4	3
3	2
2	1
2	1
2	1
2	1
2	1
2	1
3	2
2	1
2	1
2	1
2	1
2	1
3	2
2	1
6	5
3	2
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
6	5
3	2
3	2
2	1
3	2
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
3	2
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
3	2
2	1
2	1
3	2
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
3	2
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
3	2
2	1
2	1
3	2
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
3	2
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
3	2
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
3	2
2	1
2	1
2	1
3	2
3	2
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
3	2
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
Total vertices: 121424
Total edges: 822761
