Vertex degree	# of vertices with given degree
1	11976
2	7982
3	8424
4	9328
5	9801
6	9286
7	8104
8	6930
9	5861
10	5015
11	4156
12	3340
13	2695
14	2193
15	2092
16	2023
17	2065
18	1983
19	1931
20	1791
21	1606
22	1433
23	1202
24	998
25	857
26	734
27	631
28	490
29	426
30	350
31	270
32	241
33	242
34	225
35	216
36	195
37	168
38	166
39	160
40	107
41	123
42	104
43	120
44	93
45	90
46	83
47	73
48	53
49	69
50	46
51	53
52	52
53	46
54	57
55	51
56	40
57	40
58	50
59	38
60	45
61	41
62	50
63	42
64	43
65	36
66	39
67	56
68	38
69	39
70	46
71	47
72	47
73	41
74	45
75	58
76	38
77	36
78	31
79	46
80	37
81	43
82	34
83	40
84	32
85	27
86	28
87	37
88	36
89	36
90	31
91	39
92	20
93	22
94	28
95	22
96	24
97	22
98	22
99	27
100	12
101	12
102	23
103	22
104	14
105	15
106	9
107	12
108	19
109	16
110	10
111	15
112	9
113	6
114	13
115	9
116	13
117	13
118	9
119	12
120	5
121	6
122	11
123	12
124	12
125	6
126	8
127	7
128	11
129	4
130	8
131	7
132	8
133	8
134	9
135	2
136	7
137	7
138	4
139	9
140	4
141	7
142	6
143	3
144	3
145	4
146	3
147	4
148	2
149	2
150	3
151	5
152	4
153	1
154	2
155	4
156	2
157	2
158	1
159	1
160	4
161	1
162	3
163	7
164	1
165	2
167	2
168	1
169	2
170	2
171	3
172	3
173	3
174	2
175	3
176	5
178	5
179	2
180	2
181	1
182	4
183	1
184	3
185	7
186	1
187	5
188	3
189	2
190	1
191	2
192	2
193	5
194	2
195	1
196	3
197	1
198	4
199	3
200	3
201	2
202	5
203	2
204	4
205	3
206	1
207	4
208	5
209	3
210	5
211	1
212	2
213	2
214	4
215	3
216	3
217	3
219	2
220	4
221	2
222	1
223	1
224	1
225	4
226	5
227	3
228	4
230	2
231	2
232	1
233	1
235	1
236	2
237	1
239	1
240	1
245	1
247	1
248	2
250	1
252	4
253	1
255	3
256	1
257	3
258	1
259	2
260	3
261	1
264	1
266	2
268	1
269	1
270	1
271	2
272	2
273	1
274	1
275	3
276	2
277	5
278	5
279	3
280	2
281	5
282	3
285	1
286	3
288	2
289	2
290	3
291	1
292	1
293	1
294	3
295	2
296	3
297	1
302	1
303	1
304	1
305	1
307	1
308	1
309	3
310	1
312	1
313	1
314	2
315	1
316	1
317	1
318	2
319	2
320	2
321	1
322	1
325	1
326	1
334	1
336	1
338	2
339	1
350	1
361	1
365	1
371	1
377	1
383	1
387	1
389	1
401	1
407	2
410	1
412	2
424	1
426	1
430	1
432	1
434	1
435	1
437	1
449	1
451	2
453	1
454	1
465	1
467	1
478	1
484	2
491	1
508	1
509	1
513	1
515	1
517	1
542	1
546	1
549	1
552	1
554	1
567	2
568	1
583	1
590	1
595	1
600	1
606	1
609	1
613	1
615	1
617	1
622	3
626	1
629	1
634	1
678	1
688	1
699	1
726	1
731	1
735	1
744	1
753	1
757	1
760	1
763	2
766	1
776	1
784	1
824	1
828	1
848	1
853	1
858	1
870	1
940	1
991	1
996	1
998	1
1003	1
1007	1
1014	1
1016	1
1027	1
1028	1
1033	1
1036	1
1037	1
1041	1
1043	1
1045	2
1049	2
1050	1
1051	3
1054	3
1055	3
1056	1
1057	1
1064	1
1066	2
1067	1
1068	2
1074	1
1076	1
1079	1
1081	1
1082	1
1083	1
1089	2
1090	1
1092	1
1094	1
1097	1
1098	2
1105	1
1106	3
1107	1
1109	1
1110	1
1112	2
1123	1
1127	1
1134	1
1136	2
1144	1
1208	1
1430	1
1451	1
1452	1
1463	1
1476	1
1500	1
1543	1
1585	1
2015	1
2347	1
2349	1
2377	1
2387	1
2529	1
2590	1
2692	1
2703	1
2726	1
2727	1
2737	1
2769	1
2881	1
6246	1
6252	1
6259	1
6262	1
6289	1
6378	1
7333	1
7579	1
7652	1
7657	1
7659	1
7765	1
7836	1
13938	1
20210	1
