season;date_time_GMT;away_team_id;home_team_id;away_goals;home_goals;venue
20162017;2016-10-19T00:30:00Z;4;16;4;7;United Center
20172018;2018-02-07T00:00:00Z;24;7;4;3;KeyBank Center
20152016;2015-11-24T01:00:00Z;21;52;4;1;MTS Centre
20152016;2016-02-17T00:00:00Z;52;12;1;2;PNC Arena
20172018;2017-12-30T03:00:00Z;20;24;1;2;Honda Center
20162017;2017-01-10T00:30:00Z;15;8;4;1;Centre Bell
20152016;2016-01-08T03:30:00Z;10;26;1;2;STAPLES Center
20172018;2017-11-10T03:00:00Z;23;24;1;4;Honda Center
20172018;2018-01-05T02:00:00Z;29;21;0;2;Pepsi Center
20152016;2015-11-29T00:00:00Z;22;5;3;2;CONSOL Energy Center
20172018;2017-11-07T01:30:00Z;52;25;4;1;American Airlines Center
20162017;2016-11-24T03:30:00Z;2;26;2;4;STAPLES Center
20172018;2018-01-23T02:00:00Z;2;53;2;3;Gila River Arena
20162017;2016-11-11T02:00:00Z;52;53;3;2;Gila River Arena
20162017;2016-11-18T00:00:00Z;52;4;2;5;Wells Fargo Center
20162017;2016-10-28T23:30:00Z;16;1;3;2;Prudential Center
20162017;2017-03-14T01:00:00Z;5;20;3;4;Scotiabank Saddledome
20172018;2018-03-02T01:30:00Z;14;25;5;4;American Airlines Center
20172018;2018-03-20T23:00:00Z;22;12;7;3;PNC Arena
20152016;2016-03-06T22:00:00Z;5;1;6;1;Prudential Center
20172018;2017-10-27T00:00:00Z;2;30;4;6;Xcel Energy Center
20162017;2017-01-25T00:00:00Z;29;2;2;4;Barclays Center
20172018;2017-10-04T23:00:00Z;10;52;7;2;Bell MTS Place
20162017;2017-03-01T03:30:00Z;10;28;1;3;SAP Center at San Jose
20152016;2016-03-19T02:00:00Z;6;24;0;4;Honda Center
20152016;2015-10-21T00:00:00Z;14;18;4;5;Bridgestone Arena
20172018;2017-12-15T00:30:00Z;1;8;1;2;Centre Bell
20162017;2017-04-01T23:00:00Z;9;52;2;4;MTS Centre
20152016;2016-01-20T00:30:00Z;22;14;4;6;Amalie Arena
20172018;2018-01-20T00:30:00Z;8;15;3;2;Capital One Arena
20152016;2016-01-10T00:00:00Z;10;28;0;7;SAP Center at San Jose
20172018;2018-03-14T01:00:00Z;22;20;0;1;Scotiabank Saddledome
20152016;2016-01-01T02:00:00Z;26;20;4;1;Scotiabank Saddledome
20162017;2016-11-20T00:00:00Z;10;8;1;2;Centre Bell
20172018;2018-03-10T01:30:00Z;24;25;1;2;American Airlines Center
20152016;2015-11-07T21:00:00Z;13;26;1;4;STAPLES Center
20152016;2015-10-19T02:00:00Z;21;26;1;2;STAPLES Center
