Source;Target;Type;Id;Label;Weight
907;3759;Undirected;0;;1
1129;3317;Undirected;1;;1
2180;2836;Undirected;2;;1
1210;1864;Undirected;3;;1
1573;3611;Undirected;4;;1
4120;5494;Undirected;5;;1
2324;5899;Undirected;6;;1
1181;5856;Undirected;7;;1
1248;1707;Undirected;8;;1
1122;1465;Undirected;9;;1
2224;2960;Undirected;10;;1
1547;4641;Undirected;11;;1
2674;3718;Undirected;12;;1
1357;2419;Undirected;13;;1
3162;3817;Undirected;14;;1
1616;3950;Undirected;15;;1
4347;4971;Undirected;16;;1
1627;3263;Undirected;17;;1
2333;4921;Undirected;18;;1
5538;5572;Undirected;19;;1
434;1973;Undirected;20;;1
1127;5137;Undirected;21;;1
1691;2595;Undirected;22;;1
1014;5011;Undirected;23;;1
426;3696;Undirected;24;;1
539;1864;Undirected;25;;1
3243;4643;Undirected;26;;1
4251;2229;Undirected;27;;1
2141;2634;Undirected;28;;1
2086;4914;Undirected;29;;1
2817;4500;Undirected;30;;1
2590;2851;Undirected;31;;1
3739;4440;Undirected;32;;1
979;5252;Undirected;33;;1
5867;5879;Undirected;34;;1
1466;5599;Undirected;35;;1
3027;4520;Undirected;36;;1
1891;3647;Undirected;37;;1
2736;3117;Undirected;38;;1
169;1996;Undirected;39;;1
974;4511;Undirected;40;;1
4509;5687;Undirected;41;;1
1766;3709;Undirected;42;;1
4346;4667;Undirected;43;;1
815;3281;Undirected;44;;1
573;3337;Undirected;45;;1
2177;2564;Undirected;46;;1
3986;5082;Undirected;47;;1
3387;3326;Undirected;48;;1
5128;5288;Undirected;49;;1
723;1434;Undirected;50;;1
3164;4109;Undirected;51;;1
5104;1414;Undirected;52;;1
311;2224;Undirected;53;;1
1718;1836;Undirected;54;;1
431;4235;Undirected;55;;1
453;1548;Undirected;56;;1
2770;4135;Undirected;57;;1
2104;4519;Undirected;58;;1
519;3009;Undirected;59;;1
1137;5779;Undirected;60;;1
4918;5584;Undirected;61;;1
3379;3565;Undirected;62;;1
3197;3852;Undirected;63;;1
2189;3692;Undirected;64;;1
2148;1734;Undirected;65;;1
3487;4401;Undirected;66;;1
5287;5838;Undirected;67;;1
3842;4978;Undirected;68;;1
1185;2506;Undirected;69;;1
845;4918;Undirected;70;;1
4039;4340;Undirected;71;;1
617;3925;Undirected;72;;1
3003;5648;Undirected;73;;1
3646;4831;Undirected;74;;1
3031;5051;Undirected;75;;1
864;1291;Undirected;76;;1
211;5638;Undirected;77;;1
2931;4874;Undirected;78;;1
112;3564;Undirected;79;;1
2468;3595;Undirected;80;;1
1051;4409;Undirected;81;;1
2432;3904;Undirected;82;;1
2527;5574;Undirected;83;;1
1648;2389;Undirected;84;;1
189;5808;Undirected;85;;1
2048;3599;Undirected;86;;1
1378;2988;Undirected;87;;1
1427;1689;Undirected;88;;1
2863;5346;Undirected;89;;1
1388;4521;Undirected;90;;1
1825;4406;Undirected;91;;1
1324;4747;Undirected;92;;1
