Source;Target;X;Y
907;3759;-1344.6083;-427.19928
1129;3317;-221.699;1400.9154
2180;2836;-108.03225;-769.5941
1210;1864;-1474.207;-253.2268
1573;3611;-251.52405;1951.3186
4120;5494;1651.683;-2659.036
2324;5899;-1576.8671;-252.92343
1181;5856;535.0696;1690.501
1248;1707;1724.105;-2856.0615
1122;1465;-283.80444;1601.7816
2224;2960;-257.19318;765.45013
1547;4641;-981.93085;2463.647
2674;3718;798.6769;-403.91388
1357;2419;-338.1863;-541.99207
3162;3817;-1506.127;1994.536
1616;3950;725.03143;80.876305
4347;4971;807.4152;394.39102
1627;3263;-1753.673;-1361.0856
2333;4921;499.9184;-849.347
5538;5572;1813.4764;-1292.6667
434;1973;670.0284;-1205.8424
1127;5137;-1806.2687;-1484.437
1691;2595;1725.6066;-287.6965
1014;5011;-254.56302;224.86906
426;3696;-422.47998;1496.4912
539;1864;-841.7999;-221.66473
3243;4643;-1140.8218;-1356.5409
4251;2229;781.4278;308.6062
2141;2634;-709.38776;1477.9521
2086;4914;-1582.6697;2100.2356
2817;4500;-415.26474;1635.3931
2590;2851;1953.7372;824.6906
3739;4440;-289.67227;-541.7558
979;5252;2431.916;156.35321
5867;5879;1793.0155;-2689.9517
1466;5599;-1544.528;2081.4866
3027;4520;475.35898;3366.6914
1891;3647;-354.80072;649.1326
2736;3117;-580.0755;1478.4607
169;1996;-1324.1715;2416.5247
974;4511;1397.2355;1149.7504
4509;5687;483.0594;-942.2517
1766;3709;-1673.2786;-1473.7748
4346;4667;1163.357;2596.4465
815;3281;-1870.6044;-1452.3391
573;3337;-316.3686;-439.09308
2177;2564;521.19684;245.84877
3986;5082;1231.8291;1013.24786
3387;3326;-256.03015;-39.948677
5128;5288;-321.93942;-731.24725
723;1434;-753.2375;-1308.4453
3164;4109;-1410.1863;-151.90831
5104;1414;-1749.4816;-1406.7385
311;2224;-298.7685;811.74396
1718;1836;-2077.7866;917.3159
431;4235;-1594.217;2845.2961
453;1548;1763.737;-2488.4321
2770;4135;-1678.9767;-1392.1771
2104;4519;-320.77402;1758.4523
519;3009;-378.96832;1504.2094
1137;5779;-1526.0269;2186.5825
4918;5584;1841.1056;-1407.4578
3379;3565;-181.61415;53.54212
3197;3852;-2026.3274;-588.1408
2189;3692;-1104.4891;-126.85113
2148;1734;1543.833;847.7756
3487;4401;-1600.8234;-1645.5267
5287;5838;-343.2037;740.01605
3842;4978;-989.4693;2370.0261
1185;2506;1689.3467;-2775.2322
845;4918;1759.0972;-1481.3983
4039;4340;-700.254;-375.28485
617;3925;-1560.5305;-202.4927
3003;5648;-1653.8602;2936.813
3646;4831;-810.23773;-1192.1177
3031;5051;1065.2327;2519.7505
864;1291;962.14996;-878.8171
211;5638;-1721.0264;-1360.6588
2931;4874;-1272.0939;-162.08862
112;3564;2424.5242;222.28487
2468;3595;1638.3239;-950.9408
1051;4409;1745.5156;-2690.7473
2432;3904;1589.6913;410.96744
2527;5574;-1574.4233;2002.021
1648;2389;1809.2842;-1168.568
189;5808;-1566.8125;-1237.6243
2048;3599;1831.9141;-601.20953
1378;2988;-1678.497;-1542.4906
1427;1689;-1263.7231;-99.36009
2863;5346;-1501.3809;-520.9051
1388;4521;-331.4732;325.22836
1825;4406;-1597.4523;-1540.055
1324;4747;1415.8741;-2344.94
1127;2770;-1806.2687;-1484.437
2068;4517;-995.32263;-550.9406
3587;4602;-1804.1929;-1045.998
3609;4759;-378.604;1462.7999
4530;3171;1740.4945;-616.852
2445;3801;-1477.1178;-1294.8541
2638;4590;2662.0022;-33.806625
188;3173;2353.8643;-2246.8767
166;5416;-1776.934;-1594.6357
3234;4406;-1888.6132;-634.1895
296;296;-913.63837;20.27186
3356;5533;-210.1545;2049.685
2444;3193;1076.9082;1767.4684
1188;5416;-1764.2839;-1454.4318
2386;2422;1625.2435;-2634.4675
3094;3609;-1026.1403;135.19385
2230;5885;-1372.1102;2533.5574
2815;3000;1653.5021;-1366.6619
958;2059;-1091.4498;-1341.8453
1201;4724;2678.602;57.64491
4097;5401;2725.2192;113.3158
213;4921;425.03964;-824.2554
1149;5120;-3266.6995;671.77686
2406;4440;-624.2918;-371.0384
1773;2617;-1746.1987;-1553.6573
2435;4437;-1479.6036;2712.2075
3336;3335;-1648.8646;-1387.1049
4874;2918;-1417.3701;-105.4328
1107;5644;2587.3396;-6.6956863
190;3211;-547.14056;1588.3806
3668;4458;2452.8088;-106.29282
3336;4878;-1648.8646;-1387.1049
2695;5425;622.7514;407.3277
2067;3092;-605.3185;-755.6122
3802;4852;-1518.1919;2746.4194
169;3665;-1324.1715;2416.5247
1263;3498;1751.1094;-1147.5543
2943;5082;1409.4562;1280.2115
492;2598;-1435.1271;-514.02893
2609;4577;88.33059;1013.7696
611;5536;1322.5581;1166.6423
1604;2190;1799.9154;-505.56622
3048;5467;1610.8872;689.6134
98;3694;-1348.9126;2304.3767
1400;4160;-1594.3917;-1418.3286
2259;2534;1016.1958;2565.3423
791;2111;1277.7002;-2218.214
3743;4811;1352.5537;1125.1407
579;2736;-344.5609;1488.6715
2193;3048;2035.357;758.0699
1595;4476;-1654.5541;-1442.1576
665;2890;-1673.2854;2151.9744
1762;3765;1687.854;2446.7944
837;997;-1496.1736;-1362.7114
2059;3793;-1344.8225;-1067.0013
603;2041;-1844.4893;-1469.8386
2030;5128;-19.62398;-761.04065
4125;5051;1143.9182;2513.303
213;3074;425.03964;-824.2554
2197;5543;1709.4042;-1414.4983
733;4478;-770.3228;-131.53555
819;5861;2609.6091;278.2424
3264;3203;135.61395;2634.9556
4096;4960;-194.59569;526.369
589;4211;-838.06885;-1302.3416
1990;4470;-1688.8527;-963.64044
1686;5508;-1550.3088;-1262.731
3273;3664;1479.498;-862.78046
136;3680;-1520.9254;-455.275
5421;5802;-1432.4568;-1501.426
1292;2454;703.94745;-209.54607
803;5553;-938.96326;-498.43024
4172;4240;437.8371;-25.139032
291;4435;-1515.2048;2685.8296
220;3471;1461.5195;1349.4033
1726;4318;962.2359;79.59205
169;2230;-1324.1715;2416.5247
1476;4962;-1320.4017;-140.43153
4226;2452;1037.2744;-438.9319
579;2209;-344.5609;1488.6715
3094;4759;-1026.1403;135.19385
1787;3460;-1645.8599;-426.38486
2645;3879;-920.6396;-1348.2253
391;3035;606.6244;88.68579
3648;4760;2899.7642;-3.1397886
937;3367;-439.89642;1646.2386
1624;5416;-1433.821;-1602.906
2160;4159;1806.935;-1226.2609
2309;5867;1782.4841;-2632.842
2953;5311;49.535915;-755.741
3726;5410;503.00558;-1056.377
2154;2386;1649.4319;-2624.162
619;4385;-449.92578;2654.5676
1456;3273;1619.8853;-1199.0419
609;1400;-1543.7076;-945.6183
112;813;2424.5242;222.28487
634;3956;491.90866;-881.66675
1864;2219;-1125.9952;-202.09186
151;3539;-627.9695;-483.8596
3306;4081;-1376.4971;-1118.777
143;4812;688.62714;174.41298
1273;2937;-431.45654;-377.97696
1439;5396;1963.8094;-1477.0092
2819;4857;-1617.2493;-1521.174
1404;5661;-1430.1324;-1389.7721
2530;3261;3760.051;-526.1831
2565;3550;-408.96613;1441.1433
516;2041;-1587.8704;-1451.6202
2505;3280;-501.3134;-570.9329
319;3363;-1621.0319;-1330.6945
579;3696;-344.5609;1488.6715
294;3950;606.511;264.6091
1684;3369;-1608.617;668.725
