Source;Target;Time
7188;1;2014-08-08T04:00:00.000
430;1;2013-08-15T04:00:00.000
3134;1;2013-05-28T04:00:00.000
3026;1;2012-10-12T04:00:00.000
3010;1;2012-09-17T04:00:00.000
804;1;2012-05-21T04:00:00.000
160;1;2014-03-13T04:00:00.000
95;1;2013-11-16T05:00:00.000
377;1;2014-10-31T04:00:00.000
888;1;2013-04-11T04:00:00.000
89;1;2012-11-01T04:00:00.000
1901;1;2014-09-27T04:00:00.000
161;1;2014-10-15T04:00:00.000
256;1;2012-07-18T04:00:00.000
351;1;2014-11-19T05:00:00.000
3329;1;2014-01-17T05:00:00.000
3341;1;2014-01-06T05:00:00.000
649;1;2013-11-15T05:00:00.000
1583;1;2013-10-05T04:00:00.000
87;1;2013-10-15T04:00:00.000
37;1;2013-07-17T04:00:00.000
309;1;2013-09-05T04:00:00.000
821;1;2013-05-16T04:00:00.000
1496;1;2014-03-07T05:00:00.000
637;1;2013-04-03T04:00:00.000
964;1;2012-10-13T04:00:00.000
594;1;2013-06-10T04:00:00.000
2249;1;2013-02-09T05:00:00.000
554;1;2012-08-28T04:00:00.000
20;1;2012-07-26T04:00:00.000
2227;1;2012-11-19T05:00:00.000
1315;1;2012-04-17T04:00:00.000
519;1;2012-08-10T04:00:00.000
1316;1;2012-03-20T04:00:00.000
2149;1;2012-01-19T05:00:00.000
1724;1;2011-12-02T05:00:00.000
18;1;2011-09-03T04:00:00.000
57;1;2011-08-24T04:00:00.000
118;1;2014-10-24T04:00:00.000
3254;1;2013-07-09T04:00:00.000
1177;1;2013-06-12T04:00:00.000
112;1;2012-12-16T05:00:00.000
11;1;2013-07-28T04:00:00.000
586;1;2011-08-31T04:00:00.000
35;1;2012-03-01T05:00:00.000
15;1;2011-10-29T04:00:00.000
1445;1;2011-07-04T04:00:00.000
152;1;2012-11-28T05:00:00.000
2;1;2014-09-29T04:00:00.000
113;1;2011-07-22T04:00:00.000
44;1;2014-11-13T05:00:00.000
